sentiment,text,data_id
positive,"Our old basket had holes and the lid broke off. This measured the same and fit perfectly. Nice to have a cheaper option for replacement. As a new rack for our model was 130 bucks. I also bought the matching uber goop and caps,$11on Amazon, to fix the rusty prines on the dishwasher rack. So for $23, I have a nice renewed dishwasher interior.",71
positive,This is a repeat order. I was so pleased with the first time I ordered this ( for my personal dishwasher) I ordered it again for my parents dishwasher,71
positive,Value,71
positive,Great value.,71
positive,Very pleased with this purchase .  It arrived on time and safely packed.  Thank you so very much,71
positive,As you expect but lots of it.,71
positive,Great,71
positive,Works very well,71
positive,"Didn't check part numbers or any model numbers prior to purchasing, which I rarely do. Turned out to be almost perfect for my Samsung dryer. The only part that wasn't the same was the tension belt roller arm. On the old one, there's a pronounced lip for the screw on the outside edge, on the new one, there isn't, so you can't install it with the factory screw. I just replaced my tension belt and rollers and my dryers good as new!",71
negative,Beno,71
positive,"Simply packaged, purchased 2 so unsure if single would have been as well wrapped. Popped in and dryer running. Shipping was delayed, so my customer had to wait for her repair. Unfortunately I found better pricing elsewhere too. I'd prefer other options or at least delivery when it says, might use again in a pinch.",71
positive,"this oven fit perfectly into an older cabinet in an apartment. It replaced an older oven that is not made anymore. I was nervous but the installation was easy (at least for a big strong guy like my son-in-law!). 2 people (because it is rather heavy) and it went right in the old space. You need an outlet behind the space to plug it in. You need the gas line and a flexible hose and after those are connected, it went right in. Tenant is very happy with it. Remember, this is not a self cleaning oven, but for the price I wouldn't expect that.",71
negative,"Not impressed with the quality. Threaded part of nozzle broke off while hand tightening, see pictures. Had to take out entire gas burner unit to get the broken piece out. Used the second nozzle and it didn't break like the first one, but I worry whether it will also fail while in use.",71
positive,Perfect fit!!!  all  parts  included,71
positive,Great to use,71
negative,"I had a previous ice machine for about 4 years before it crapped out so I can at least say I'm not new to owning ice machines. I've owned this ice machine for 6 weeks now. In the time I've had it, I've had numerous issues with it:<br />- The ice machine sometimes doesn't make any ice at all<br />- It'll show that there is no water when it's full of water, and therefore, won't make any ice<br />- It shows that it's full when it's completely empty<br />- The on/off button doesn't work to turn the machine off.<br /><br />When the machine works, it works well. I've had more issues with it than I should for a product that's fairly new. I've tried to turn the machine on and off with the on/off button when the machine seems to be stuck and not making ice, but that button only seems to turn the machine on. The only fix I've had so far is that I have to unplug the machine, plug it back in, and turn on the machine using the on/off button. I've had to do that several times a week now.<br /><br />Do yourself a favor and get a different machine or at least purchase the extended warranty.",71
positive,"As described, easy to install, lasted 6 months, water tasted good.",71
negative,"Has anyone else figured out a way to get this thing to work? I literally fell back to sleep waiting for this boiling water to drip through, when I woke I had about 2 oz of coffee with water still floating in the device. Wish I had read the reviews before purchasing.",71
positive,they fit better then the ones I had,71
positive,Worked well.,71
positive,Fit perfectly on my ge and didn't cost me three times as much.  Will be ordering again and again,71
positive,Good,71
positive,Best ever coffee pods.  Easier to clean.,71
positive,WORKS GREAT,71
positive,"a well made factory replacement ,",71
positive,"We don’t need to use this basket all the time but it is needed occasionally. It is very sturdy, as nice as the one that came with the dishwasher. I would recommend no question.",71
positive,Excellent!,71
positive,One of the better filters for the price although it does plug off a little faster than the more expensive competitors version.,71
positive,Love it! Easy to read and easy to work.,71
positive,"I used to buy it at Best Buy for 58.00 dollars, just one, when I saw this online  I couldn't believe it, 3 cartridges for about 20.00 dollars, I'm very happy with this product!",71
negative,"I am very disappointed! It looks like used. When I open the washer, an ordor<br />and a bit water came out. It has scratches and water stain both on the door and inside. The top hole is wet too. I called them but was told that is normal. They said there should be a flyer, saying water is normal since they tested the washer. However, I don't find any flyer. I don't believe the explanation, it sounds like standard replies to deal with legitimate complain.",71
positive,"At work we have the hook thing in the Keurig and this has two holes at the bottum to work.  I had a co-worker get one, and I conviced a few others to get it as the coffee we have is horrible.  THANKs!",71
positive,Good replacement wheels. Dishwasher lower drawer is working/sliding great.,71
positive,They cost 4 cents each. But they filter out the residue from coffee grounds.,71
positive,The filters were perfect,71
positive,Perfect fit,71
positive,Work how they should. If they were cheaper I'd give them 5 stars.,71
positive,"I like that it looked exactly like the one that broke but I didn't give it 5 stars because it was quite the challenge to get onto the stem.  After many trys, it finally went on but now I wonder if that weakened it and will have to replace another one in the future, however, it is the first time in 10 years so I am good with that.",71
positive,work perfect,71
positive,"I've read mixed reviews on these pods and personally never had any issues, so here's a few tips that may help some people.<br />1.  best if used with a pod sealer but an iron will work.<br />2.  Put pods in brewer upside down so it don't affect the seal in brewer making it leak.<br />3.  A canning funnel fits perfectly in pod when filling so as not to get ground coffee on edges where pod seals at.",71
positive,Perfect fit!,71
positive,These replacement fridge shelves were a perfect fit.  Sturdy and affordable.,71
negative,Researched it online and decided to choose this one.  When I got it I started to put it in and it was a inch longer than my freezer. I cant be mad about it I just should have bought the GE brand that was an exact match.,71
positive,"I have a GE stovetop and one of the little rubber bumpers kept falling out, glued numerous times. Found these online and ordered. It worked great. Now I have plenty for the rest of the feet on the grates.  Didn't know they were actually available to replace.",71
positive,Like everything. Perfect fit and easy install,71
negative,They say universal but they are not,71
positive,"Fits perfectly, good quality",71
negative,Sucks so bad doesn’t spin right cheap crap,71
positive,"Better than I expected. Fits/works well with my barista express. The 3 teeth that mate with the machine have sharper edges than the teeth on the breville portafilter (corners instead of being rounded), but they're not dangerous. That being said,the finish on the chrome and wood are good. The filter basket seems to be slightly deeper then the original (less overflow when filling), though I haven't had any problem with the shots coming from it.  It sometimes makes a little more splatter during the shot, but that's just the nature of a naked filter. Breville filter baskets swapped into the holder just fine. Don't put a double walled basket in the naked filter. The espresso comes out of one teeny tiny hole at high-speed, creating a fine coffee mist when it strikes the bottom of the cup. This filter was one of the cheapest options I could find and exceeded my expectations. If the handle comes loose, just twist it tight with a dishwashing glove. Delivery wasn't fast, but not as slow as a shipment from China",71
positive,Great,71
negative,"I have used these before and they worked great. However, this time one had some kind of defect because it consistently leaked. Of course, since it's past the 30 days I am out of luck for a return.",71
positive,"This range hood is absolutely perfect , I love the way it looks . Install was flawless.",71
positive,Part fit correctly and relatively easy to install.,71
positive,Great for milk storage in the freezer!,71
positive,Works great.  Wish that there were different wheels that could be used for a tighter closure with smaller bags.  Way faster than twist ties!,71
positive,works great and taste like bottled water,71
negative,"I have only had them a month and tonight while cooking, some tomato sauce dropped on the one gap cover.  I went to wipe it off and it had stained. I tried soaking it, used Mr. Clean magic eraser, and another cleaner, after some effort, I was able to lighten the stains but I now have yellow spots on my white gap filler.  Such a waste of money! You should be able to get something on them without worrying about staining!",71
positive,Perfect in every way. Instant delivery!,71
positive,"Exactly what I wanted for my percolating coffee pot. Easy to use, and a good fit in the coffee basket.",71
positive,"Exactly as desribed, easy to install.",71
positive,These work great! Now I can make my own blends and grind beans fresh. I recommend these for any coffee drinker.,71
positive,I saw these at a friends house and loved them! They are perfect size for the solution of constantly having to wipe down the fingerprints on our stainless steel refrigerator.,71
positive,They pay for themselves 10x over.,71
negative,This the fourth one that quit working. They last about 30 days before they either snap or stop working altogether.<br />I blame Xoom for some of it. Its a bad design,71
positive,"I would only love this fridge more if I they made one specifically for bottles instead of cans so I could fit more in there. The Lock was a pleasant surprise to keep kids out. The Light is not LED but no worries. The temperature control is in the back outside the fridge on the top, and not indicated by degrees temperature only High, medium, and low.",71
positive,Works,71
positive,They world perfect with my Nespresso Umilk,71
positive,Unfortunately I should have paid more attention to the size - 10 oz. is just over half the size of my usual coffee mug. Having to fill it twice is annoying but otherwise I'm very happy with it.  I'm ordering the large now.,71
negative,Doesn't clean dishes as well as I expected it to.doesn't rinse soap off very well at the end but I'm going to try different soap and see if it helps. Will update review if it makes a difference.  Customer service was awesome though! Very helpful. Easy set up! Comes with all parts needed. Looks just like discription.,71
positive,Good flavor and decent deal.,71
positive,need it to replace the one broke .. it fit and works,71
positive,Saves $$$ when you can use your own favorite ground coffee!,71
positive,i installed the filter and you are better purchasing a proper label matching the fridge purchase. experience with other filters are not good. i suggest you pay more for the proper filter of the refrigerator.,71
negative,One size does not fit all,71
positive,Upgraded the look from the original plain black knobs with these fancier chrome knobs.<br /><br />Perfect fit and work as expected.<br />I like the labels on the outside edge.<br /><br />Recommended 👍,71
